Name,Category,Indicator,Description
Ispolink,Offchain,Social Media Sentiment,"Ispolink is a Metaverse-based cross-chain platform for developers, leveraging BSC and AI to bridge Blockchain, Metaverse, DeFi, and Gaming."
Ispolink,Onchain,Token Circulation,"Ispolink is a Metaverse-based cross-chain platform for developers, leveraging BSC and AI to bridge Blockchain, Metaverse, DeFi, and Gaming."
Ispolink,Offchain,News and Media Coverage,"Ispolink is a Metaverse-based cross-chain platform for developers, leveraging BSC and AI to bridge Blockchain, Metaverse, DeFi, and Gaming."
Ispolink,Onchain,Whale Transactions,"Ispolink is a Metaverse-based cross-chain platform for developers, leveraging BSC and AI to bridge Blockchain, Metaverse, DeFi, and Gaming."
Ispolink,Offchain,Developer Activity,"Ispolink is a Metaverse-based cross-chain platform for developers, leveraging BSC and AI to bridge Blockchain, Metaverse, DeFi, and Gaming."
Ispolink,Onchain,Token Age Consumed,"Ispolink is a Metaverse-based cross-chain platform for developers, leveraging BSC and AI to bridge Blockchain, Metaverse, DeFi, and Gaming."
Ispolink,Offchain,Market Sentiment Index,"Ispolink is a Metaverse-based cross-chain platform for developers, leveraging BSC and AI to bridge Blockchain, Metaverse, DeFi, and Gaming."
Ispolink,Onchain,Token Velocity,"Ispolink is a Metaverse-based cross-chain platform for developers, leveraging BSC and AI to bridge Blockchain, Metaverse, DeFi, and Gaming."
Ispolink,Offchain,Exchange Listings,"Ispolink is a Metaverse-based cross-chain platform for developers, leveraging BSC and AI to bridge Blockchain, Metaverse, DeFi, and Gaming."
BeNFT AI,Onchain,Transaction volume,"BeNFT combines blockchain and AI avatars for an immersive e-learning experience, aiming to shape the future of education."
BeNFT AI,Offchain,Social media sentiment,"BeNFT combines blockchain and AI avatars for an immersive e-learning experience, aiming to shape the future of education."
BeNFT AI,Onchain,Wallet activity,"BeNFT combines blockchain and AI avatars for an immersive e-learning experience, aiming to shape the future of education."
BeNFT AI,Offchain,News and media coverage,"BeNFT combines blockchain and AI avatars for an immersive e-learning experience, aiming to shape the future of education."
BeNFT AI,Onchain,Token circulation,"BeNFT combines blockchain and AI avatars for an immersive e-learning experience, aiming to shape the future of education."
BeNFT AI,Offchain,Market capitalization,"BeNFT combines blockchain and AI avatars for an immersive e-learning experience, aiming to shape the future of education."
BeNFT AI,Onchain,Token distribution,"BeNFT combines blockchain and AI avatars for an immersive e-learning experience, aiming to shape the future of education."
BeNFT AI,Offchain,Trading volume on exchanges,"BeNFT combines blockchain and AI avatars for an immersive e-learning experience, aiming to shape the future of education."
BeNFT AI,Onchain,Network hash rate,"BeNFT combines blockchain and AI avatars for an immersive e-learning experience, aiming to shape the future of education."
BeNFT AI,Offchain,Competitor analysis,"BeNFT combines blockchain and AI avatars for an immersive e-learning experience, aiming to shape the future of education."
Sperax,Onchain,Transaction Volume,"Sperax USD (USDs) bridges the gap for crypto users, offering a stablecoin with natural yield and capital-efficiency."
Sperax,Offchain,Market Sentiment,"Sperax USD (USDs) bridges the gap for crypto users, offering a stablecoin with natural yield and capital-efficiency."
Sperax,Onchain,Token Velocity,"Sperax USD (USDs) bridges the gap for crypto users, offering a stablecoin with natural yield and capital-efficiency."
Sperax,Offchain,Trading Volume on Exchanges,"Sperax USD (USDs) bridges the gap for crypto users, offering a stablecoin with natural yield and capital-efficiency."
Sperax,Onchain,Network Hashrate,"Sperax USD (USDs) bridges the gap for crypto users, offering a stablecoin with natural yield and capital-efficiency."
Sperax,Offchain,Regulatory Developments,"Sperax USD (USDs) bridges the gap for crypto users, offering a stablecoin with natural yield and capital-efficiency."
Sperax,Onchain,Token Distribution,"Sperax USD (USDs) bridges the gap for crypto users, offering a stablecoin with natural yield and capital-efficiency."
Sperax,Offchain,Market Capitalization,"Sperax USD (USDs) bridges the gap for crypto users, offering a stablecoin with natural yield and capital-efficiency."
Sperax,Onchain,Developer Activity,"Sperax USD (USDs) bridges the gap for crypto users, offering a stablecoin with natural yield and capital-efficiency."
Sperax,Offchain,Competitor Analysis,"Sperax USD (USDs) bridges the gap for crypto users, offering a stablecoin with natural yield and capital-efficiency."
XEN Crypto,Onchain,Transaction Volume,"XEN is an ERC-20 token built on Ethereum, based on decentralization, self-custody, transparency, and trust through consensus. "
XEN Crypto,Offchain,Social Media Sentiment,"XEN is an ERC-20 token built on Ethereum, based on decentralization, self-custody, transparency, and trust through consensus. "
XEN Crypto,Onchain,Token Velocity,"XEN is an ERC-20 token built on Ethereum, based on decentralization, self-custody, transparency, and trust through consensus. "
XEN Crypto,Offchain,Trading Volume on Exchanges,"XEN is an ERC-20 token built on Ethereum, based on decentralization, self-custody, transparency, and trust through consensus. "
XEN Crypto,Onchain,Active Addresses,"XEN is an ERC-20 token built on Ethereum, based on decentralization, self-custody, transparency, and trust through consensus. "
XEN Crypto,Offchain,Market Capitalization,"XEN is an ERC-20 token built on Ethereum, based on decentralization, self-custody, transparency, and trust through consensus. "
XEN Crypto,Onchain,Whale Accumulation,"XEN is an ERC-20 token built on Ethereum, based on decentralization, self-custody, transparency, and trust through consensus. "
XEN Crypto,Offchain,Regulatory Developments,"XEN is an ERC-20 token built on Ethereum, based on decentralization, self-custody, transparency, and trust through consensus. "
XEN Crypto,Onchain,Token Burn Rate,"XEN is an ERC-20 token built on Ethereum, based on decentralization, self-custody, transparency, and trust through consensus. "
XEN Crypto,Offchain,Partnerships and Integrations,"XEN is an ERC-20 token built on Ethereum, based on decentralization, self-custody, transparency, and trust through consensus. "
Crust Network,Onchain,Transaction volume,"Crust Network provides decentralized storage and cloud solutions for Web 3.0 and Web 2.0, based on Polkadot's Substrate and IPFS, with blockchain-enhanced security, performance, and accountability. "
Crust Network,Offchain,Market sentiment,"Crust Network provides decentralized storage and cloud solutions for Web 3.0 and Web 2.0, based on Polkadot's Substrate and IPFS, with blockchain-enhanced security, performance, and accountability. "
Crust Network,Onchain,Wallet growth,"Crust Network provides decentralized storage and cloud solutions for Web 3.0 and Web 2.0, based on Polkadot's Substrate and IPFS, with blockchain-enhanced security, performance, and accountability. "
Crust Network,Offchain,Partnership announcements,"Crust Network provides decentralized storage and cloud solutions for Web 3.0 and Web 2.0, based on Polkadot's Substrate and IPFS, with blockchain-enhanced security, performance, and accountability. "
Crust Network,Onchain,Token circulation,"Crust Network provides decentralized storage and cloud solutions for Web 3.0 and Web 2.0, based on Polkadot's Substrate and IPFS, with blockchain-enhanced security, performance, and accountability. "
Crust Network,Offchain,Competitor analysis,"Crust Network provides decentralized storage and cloud solutions for Web 3.0 and Web 2.0, based on Polkadot's Substrate and IPFS, with blockchain-enhanced security, performance, and accountability. "
Crust Network,Onchain,Staking participation,"Crust Network provides decentralized storage and cloud solutions for Web 3.0 and Web 2.0, based on Polkadot's Substrate and IPFS, with blockchain-enhanced security, performance, and accountability. "
Crust Network,Offchain,Regulatory developments,"Crust Network provides decentralized storage and cloud solutions for Web 3.0 and Web 2.0, based on Polkadot's Substrate and IPFS, with blockchain-enhanced security, performance, and accountability. "
Crust Network,Onchain,Developer activity,"Crust Network provides decentralized storage and cloud solutions for Web 3.0 and Web 2.0, based on Polkadot's Substrate and IPFS, with blockchain-enhanced security, performance, and accountability. "
Crust Network,Offchain,Overall market trends,"Crust Network provides decentralized storage and cloud solutions for Web 3.0 and Web 2.0, based on Polkadot's Substrate and IPFS, with blockchain-enhanced security, performance, and accountability. "
Machine Xchange Coin,Onchain,Transaction volume,"MXC is a utility token used to facilitate device transactions on the MXC Supernode network, allowing users to share in profits through staking."
Machine Xchange Coin,Offchain,Social media sentiment,"MXC is a utility token used to facilitate device transactions on the MXC Supernode network, allowing users to share in profits through staking."
Machine Xchange Coin,Onchain,Wallet activity,"MXC is a utility token used to facilitate device transactions on the MXC Supernode network, allowing users to share in profits through staking."
Machine Xchange Coin,Offchain,News and media coverage,"MXC is a utility token used to facilitate device transactions on the MXC Supernode network, allowing users to share in profits through staking."
Machine Xchange Coin,Onchain,Exchange inflows and outflows,"MXC is a utility token used to facilitate device transactions on the MXC Supernode network, allowing users to share in profits through staking."
Machine Xchange Coin,Offchain,Market capitalization,"MXC is a utility token used to facilitate device transactions on the MXC Supernode network, allowing users to share in profits through staking."
Machine Xchange Coin,Onchain,Token velocity,"MXC is a utility token used to facilitate device transactions on the MXC Supernode network, allowing users to share in profits through staking."
Machine Xchange Coin,Offchain,Trading volume,"MXC is a utility token used to facilitate device transactions on the MXC Supernode network, allowing users to share in profits through staking."
Machine Xchange Coin,Onchain,Network hash rate,"MXC is a utility token used to facilitate device transactions on the MXC Supernode network, allowing users to share in profits through staking."
Machine Xchange Coin,Offchain,Regulatory developments,"MXC is a utility token used to facilitate device transactions on the MXC Supernode network, allowing users to share in profits through staking."
Ooki Protocol,Onchain,Transaction Volume,"Ooki Protocol is a decentralized finance protocol that enables lenders, borrowers, and brokers to interact on different blockchains."
Ooki Protocol,Offchain,Market Sentiment,"Ooki Protocol is a decentralized finance protocol that enables lenders, borrowers, and brokers to interact on different blockchains."
Ooki Protocol,Onchain,Token Velocity,"Ooki Protocol is a decentralized finance protocol that enables lenders, borrowers, and brokers to interact on different blockchains."
Ooki Protocol,Offchain,Trading Volume on Exchanges,"Ooki Protocol is a decentralized finance protocol that enables lenders, borrowers, and brokers to interact on different blockchains."
Ooki Protocol,Onchain,Token Distribution,"Ooki Protocol is a decentralized finance protocol that enables lenders, borrowers, and brokers to interact on different blockchains."
Ooki Protocol,Offchain,Regulatory Developments,"Ooki Protocol is a decentralized finance protocol that enables lenders, borrowers, and brokers to interact on different blockchains."
Ooki Protocol,Onchain,Active Addresses,"Ooki Protocol is a decentralized finance protocol that enables lenders, borrowers, and brokers to interact on different blockchains."
Ooki Protocol,Offchain,Partnerships and Integrations,"Ooki Protocol is a decentralized finance protocol that enables lenders, borrowers, and brokers to interact on different blockchains."
Ooki Protocol,Onchain,Smart Contract Activity,"Ooki Protocol is a decentralized finance protocol that enables lenders, borrowers, and brokers to interact on different blockchains."
Ooki Protocol,Offchain,Market Capitalization,"Ooki Protocol is a decentralized finance protocol that enables lenders, borrowers, and brokers to interact on different blockchains."
e-RADIX,Onchain,Transaction Volume,e-RADIX is an ERC20 token to promote decentralisation & integration into the DeFi ecosystem. 
e-RADIX,Offchain,Market Sentiment,e-RADIX is an ERC20 token to promote decentralisation & integration into the DeFi ecosystem. 
e-RADIX,Onchain,Token Velocity,e-RADIX is an ERC20 token to promote decentralisation & integration into the DeFi ecosystem. 
e-RADIX,Offchain,Trading Volume on Exchanges,e-RADIX is an ERC20 token to promote decentralisation & integration into the DeFi ecosystem. 
e-RADIX,Onchain,Token Distribution,e-RADIX is an ERC20 token to promote decentralisation & integration into the DeFi ecosystem. 
e-RADIX,Offchain,Regulatory Developments,e-RADIX is an ERC20 token to promote decentralisation & integration into the DeFi ecosystem. 
e-RADIX,Onchain,Network Hashrate,e-RADIX is an ERC20 token to promote decentralisation & integration into the DeFi ecosystem. 
e-RADIX,Offchain,Market Capitalization,e-RADIX is an ERC20 token to promote decentralisation & integration into the DeFi ecosystem. 
e-RADIX,Onchain,Decentralized Finance (DeFi) Integration,e-RADIX is an ERC20 token to promote decentralisation & integration into the DeFi ecosystem. 
e-RADIX,Offchain,Competitor Analysis,e-RADIX is an ERC20 token to promote decentralisation & integration into the DeFi ecosystem. 
Bitget Token,Onchain,Transaction Volume,"BGB Token is a platform token for Bitget, aiming to create a secure, accessible Web3-ecosystem for crypto, NFTs, Defi, and more. "
Bitget Token,Offchain,Trading Volume on Exchanges,"BGB Token is a platform token for Bitget, aiming to create a secure, accessible Web3-ecosystem for crypto, NFTs, Defi, and more. "
Bitget Token,Onchain,Wallet Distribution,"BGB Token is a platform token for Bitget, aiming to create a secure, accessible Web3-ecosystem for crypto, NFTs, Defi, and more. "
Bitget Token,Offchain,Social Media Sentiment,"BGB Token is a platform token for Bitget, aiming to create a secure, accessible Web3-ecosystem for crypto, NFTs, Defi, and more. "
Bitget Token,Onchain,Token Velocity,"BGB Token is a platform token for Bitget, aiming to create a secure, accessible Web3-ecosystem for crypto, NFTs, Defi, and more. "
Bitget Token,Offchain,Regulatory Developments,"BGB Token is a platform token for Bitget, aiming to create a secure, accessible Web3-ecosystem for crypto, NFTs, Defi, and more. "
Bitget Token,Onchain,Network Hashrate,"BGB Token is a platform token for Bitget, aiming to create a secure, accessible Web3-ecosystem for crypto, NFTs, Defi, and more. "
Bitget Token,Offchain,Market Capitalization,"BGB Token is a platform token for Bitget, aiming to create a secure, accessible Web3-ecosystem for crypto, NFTs, Defi, and more. "
Bitget Token,Onchain,Token Age Consumed,"BGB Token is a platform token for Bitget, aiming to create a secure, accessible Web3-ecosystem for crypto, NFTs, Defi, and more. "
Bitget Token,Offchain,Adoption and Partnerships,"BGB Token is a platform token for Bitget, aiming to create a secure, accessible Web3-ecosystem for crypto, NFTs, Defi, and more. "
StreamCoin,Onchain,Trading Volume,"StreamCoin is a BSC governance token utilizing PoSA, a hybrid of Delegated PoS and PoA. "
StreamCoin,Offchain,Social Media Sentiment,"StreamCoin is a BSC governance token utilizing PoSA, a hybrid of Delegated PoS and PoA. "
StreamCoin,Onchain,Token Velocity,"StreamCoin is a BSC governance token utilizing PoSA, a hybrid of Delegated PoS and PoA. "
StreamCoin,Offchain,News and Media Coverage,"StreamCoin is a BSC governance token utilizing PoSA, a hybrid of Delegated PoS and PoA. "
StreamCoin,Onchain,Whale Transactions,"StreamCoin is a BSC governance token utilizing PoSA, a hybrid of Delegated PoS and PoA. "
StreamCoin,Offchain,Market Capitalization,"StreamCoin is a BSC governance token utilizing PoSA, a hybrid of Delegated PoS and PoA. "
StreamCoin,Onchain,Token Age Consumed,"StreamCoin is a BSC governance token utilizing PoSA, a hybrid of Delegated PoS and PoA. "
StreamCoin,Offchain,Exchange Listings,"StreamCoin is a BSC governance token utilizing PoSA, a hybrid of Delegated PoS and PoA. "
StreamCoin,Onchain,Network Hashrate,"StreamCoin is a BSC governance token utilizing PoSA, a hybrid of Delegated PoS and PoA. "
StreamCoin,Offchain,Market Depth,"StreamCoin is a BSC governance token utilizing PoSA, a hybrid of Delegated PoS and PoA. "
Dvision Network,Onchain,Transaction Volume,Dvision Network is a blockchain-based NFT metaverse platform that lowers entry barriers for users to experience the most advanced metaverse.
Dvision Network,Offchain,Market Capitalization,Dvision Network is a blockchain-based NFT metaverse platform that lowers entry barriers for users to experience the most advanced metaverse.
Dvision Network,Onchain,Wallet Growth,Dvision Network is a blockchain-based NFT metaverse platform that lowers entry barriers for users to experience the most advanced metaverse.
Dvision Network,Offchain,Trading Volume,Dvision Network is a blockchain-based NFT metaverse platform that lowers entry barriers for users to experience the most advanced metaverse.
Dvision Network,Onchain,Token Circulation,Dvision Network is a blockchain-based NFT metaverse platform that lowers entry barriers for users to experience the most advanced metaverse.
Dvision Network,Offchain,Partnership Announcements,Dvision Network is a blockchain-based NFT metaverse platform that lowers entry barriers for users to experience the most advanced metaverse.
Dvision Network,Onchain,Network Hashrate,Dvision Network is a blockchain-based NFT metaverse platform that lowers entry barriers for users to experience the most advanced metaverse.
Dvision Network,Offchain,Regulatory Developments,Dvision Network is a blockchain-based NFT metaverse platform that lowers entry barriers for users to experience the most advanced metaverse.
Dvision Network,Onchain,Social Media Sentiment,Dvision Network is a blockchain-based NFT metaverse platform that lowers entry barriers for users to experience the most advanced metaverse.
Dvision Network,Offchain,Market Sentiment Index,Dvision Network is a blockchain-based NFT metaverse platform that lowers entry barriers for users to experience the most advanced metaverse.
Wing Finance,Onchain,Trading volume,Wing Finance is a decentralized money platform worked by the group behind Ontology that supports cross-chain associations between different protocols. 
Wing Finance,Offchain,Market sentiment,Wing Finance is a decentralized money platform worked by the group behind Ontology that supports cross-chain associations between different protocols. 
Wing Finance,Onchain,Token velocity,Wing Finance is a decentralized money platform worked by the group behind Ontology that supports cross-chain associations between different protocols. 
Wing Finance,Offchain,Regulatory developments,Wing Finance is a decentralized money platform worked by the group behind Ontology that supports cross-chain associations between different protocols. 
Wing Finance,Onchain,Whale transactions,Wing Finance is a decentralized money platform worked by the group behind Ontology that supports cross-chain associations between different protocols. 
Wing Finance,Offchain,Partnerships and collaborations,Wing Finance is a decentralized money platform worked by the group behind Ontology that supports cross-chain associations between different protocols. 
Wing Finance,Onchain,Network activity,Wing Finance is a decentralized money platform worked by the group behind Ontology that supports cross-chain associations between different protocols. 
Wing Finance,Offchain,Market trends,Wing Finance is a decentralized money platform worked by the group behind Ontology that supports cross-chain associations between different protocols. 
Wing Finance,Onchain,Token distribution,Wing Finance is a decentralized money platform worked by the group behind Ontology that supports cross-chain associations between different protocols. 
Wing Finance,Offchain,Technical analysis,Wing Finance is a decentralized money platform worked by the group behind Ontology that supports cross-chain associations between different protocols. 
Tokenlon,Onchain,Trading volume,"LON is a utility token issued by the Tokenlon DEX, used to adjust all ecosystem partners and boost cooperation and extension of the environment."
Tokenlon,Offchain,Market sentiment,"LON is a utility token issued by the Tokenlon DEX, used to adjust all ecosystem partners and boost cooperation and extension of the environment."
Tokenlon,Onchain,Token velocity,"LON is a utility token issued by the Tokenlon DEX, used to adjust all ecosystem partners and boost cooperation and extension of the environment."
Tokenlon,Offchain,Regulatory developments,"LON is a utility token issued by the Tokenlon DEX, used to adjust all ecosystem partners and boost cooperation and extension of the environment."
Tokenlon,Onchain,Network activity,"LON is a utility token issued by the Tokenlon DEX, used to adjust all ecosystem partners and boost cooperation and extension of the environment."
Tokenlon,Offchain,Market liquidity,"LON is a utility token issued by the Tokenlon DEX, used to adjust all ecosystem partners and boost cooperation and extension of the environment."
Tokenlon,Onchain,Token distribution,"LON is a utility token issued by the Tokenlon DEX, used to adjust all ecosystem partners and boost cooperation and extension of the environment."
Tokenlon,Offchain,Competitor analysis,"LON is a utility token issued by the Tokenlon DEX, used to adjust all ecosystem partners and boost cooperation and extension of the environment."
Tokenlon,Onchain,Token age consumed,"LON is a utility token issued by the Tokenlon DEX, used to adjust all ecosystem partners and boost cooperation and extension of the environment."
Tokenlon,Offchain,Overall market trends,"LON is a utility token issued by the Tokenlon DEX, used to adjust all ecosystem partners and boost cooperation and extension of the environment."
Crypto One Stop Solution,Onchain,Transaction volume,COS serves as an intermediary between the maker and the taker who place and complete orders in a safe environment.
Crypto One Stop Solution,Offchain,Social media sentiment,COS serves as an intermediary between the maker and the taker who place and complete orders in a safe environment.
Crypto One Stop Solution,Onchain,Wallet growth,COS serves as an intermediary between the maker and the taker who place and complete orders in a safe environment.
Crypto One Stop Solution,Offchain,Trading volume on exchanges,COS serves as an intermediary between the maker and the taker who place and complete orders in a safe environment.
Crypto One Stop Solution,Onchain,Token velocity,COS serves as an intermediary between the maker and the taker who place and complete orders in a safe environment.
Crypto One Stop Solution,Offchain,Regulatory developments,COS serves as an intermediary between the maker and the taker who place and complete orders in a safe environment.
Crypto One Stop Solution,Onchain,Exchange inflows/outflows,COS serves as an intermediary between the maker and the taker who place and complete orders in a safe environment.
Crypto One Stop Solution,Offchain,Market trends,COS serves as an intermediary between the maker and the taker who place and complete orders in a safe environment.
Crypto One Stop Solution,Onchain,Miner activity,COS serves as an intermediary between the maker and the taker who place and complete orders in a safe environment.
Crypto One Stop Solution,Offchain,Partnerships and collaborations,COS serves as an intermediary between the maker and the taker who place and complete orders in a safe environment.
Unifi Protocol DAO,Onchain,Trading Volume,"Unifi Protocol DAO is a group of interoperable, decentralized smart contracts providing building blocks for next-gen DeFi, with uTrade as a proof-of-concept for liquidity mining. "
Unifi Protocol DAO,Offchain,Social Media Sentiment,"Unifi Protocol DAO is a group of interoperable, decentralized smart contracts providing building blocks for next-gen DeFi, with uTrade as a proof-of-concept for liquidity mining. "
Unifi Protocol DAO,Onchain,Token Velocity,"Unifi Protocol DAO is a group of interoperable, decentralized smart contracts providing building blocks for next-gen DeFi, with uTrade as a proof-of-concept for liquidity mining. "
Unifi Protocol DAO,Offchain,News and Media Coverage,"Unifi Protocol DAO is a group of interoperable, decentralized smart contracts providing building blocks for next-gen DeFi, with uTrade as a proof-of-concept for liquidity mining. "
Unifi Protocol DAO,Onchain,Whale Transactions,"Unifi Protocol DAO is a group of interoperable, decentralized smart contracts providing building blocks for next-gen DeFi, with uTrade as a proof-of-concept for liquidity mining. "
Unifi Protocol DAO,Offchain,Developer Activity,"Unifi Protocol DAO is a group of interoperable, decentralized smart contracts providing building blocks for next-gen DeFi, with uTrade as a proof-of-concept for liquidity mining. "
Unifi Protocol DAO,Onchain,Token Age Consumed,"Unifi Protocol DAO is a group of interoperable, decentralized smart contracts providing building blocks for next-gen DeFi, with uTrade as a proof-of-concept for liquidity mining. "
Unifi Protocol DAO,Offchain,Market Capitalization,"Unifi Protocol DAO is a group of interoperable, decentralized smart contracts providing building blocks for next-gen DeFi, with uTrade as a proof-of-concept for liquidity mining. "
Unifi Protocol DAO,Onchain,Exchange Inflow/Outflow,"Unifi Protocol DAO is a group of interoperable, decentralized smart contracts providing building blocks for next-gen DeFi, with uTrade as a proof-of-concept for liquidity mining. "
Unifi Protocol DAO,Offchain,Market Depth,"Unifi Protocol DAO is a group of interoperable, decentralized smart contracts providing building blocks for next-gen DeFi, with uTrade as a proof-of-concept for liquidity mining. "
OpenANX,Onchain,Transaction Volume,"OpenANX is a project that strives to provide support for decentralized finance and digital assets, offering alternatives to traditional financial ecosystems."
OpenANX,Offchain,Social Media Sentiment,"OpenANX is a project that strives to provide support for decentralized finance and digital assets, offering alternatives to traditional financial ecosystems."
OpenANX,Onchain,Wallet Growth,"OpenANX is a project that strives to provide support for decentralized finance and digital assets, offering alternatives to traditional financial ecosystems."
OpenANX,Offchain,News and Media Coverage,"OpenANX is a project that strives to provide support for decentralized finance and digital assets, offering alternatives to traditional financial ecosystems."
OpenANX,Onchain,Token Velocity,"OpenANX is a project that strives to provide support for decentralized finance and digital assets, offering alternatives to traditional financial ecosystems."
OpenANX,Offchain,Trading Volume on Exchanges,"OpenANX is a project that strives to provide support for decentralized finance and digital assets, offering alternatives to traditional financial ecosystems."
OpenANX,Onchain,Exchange Inflow/Outflow,"OpenANX is a project that strives to provide support for decentralized finance and digital assets, offering alternatives to traditional financial ecosystems."
OpenANX,Offchain,Market Capitalization,"OpenANX is a project that strives to provide support for decentralized finance and digital assets, offering alternatives to traditional financial ecosystems."
OpenANX,Onchain,Network Hashrate,"OpenANX is a project that strives to provide support for decentralized finance and digital assets, offering alternatives to traditional financial ecosystems."
OpenANX,Offchain,Regulatory Developments,"OpenANX is a project that strives to provide support for decentralized finance and digital assets, offering alternatives to traditional financial ecosystems."
vEmpire DDAO,Onchain,Trading Volume,vEmpire DDAO is a decentralized metaverse investment org. offering double yield interest ' largest virtual land owner in the industry.
vEmpire DDAO,Offchain,Social Media Sentiment,vEmpire DDAO is a decentralized metaverse investment org. offering double yield interest ' largest virtual land owner in the industry.
vEmpire DDAO,Onchain,Token Velocity,vEmpire DDAO is a decentralized metaverse investment org. offering double yield interest ' largest virtual land owner in the industry.
vEmpire DDAO,Offchain,News and Media Coverage,vEmpire DDAO is a decentralized metaverse investment org. offering double yield interest ' largest virtual land owner in the industry.
vEmpire DDAO,Onchain,Whale Transactions,vEmpire DDAO is a decentralized metaverse investment org. offering double yield interest ' largest virtual land owner in the industry.
vEmpire DDAO,Offchain,Partnerships and Integrations,vEmpire DDAO is a decentralized metaverse investment org. offering double yield interest ' largest virtual land owner in the industry.
vEmpire DDAO,Onchain,Token Age Consumed,vEmpire DDAO is a decentralized metaverse investment org. offering double yield interest ' largest virtual land owner in the industry.
vEmpire DDAO,Offchain,Market Capitalization,vEmpire DDAO is a decentralized metaverse investment org. offering double yield interest ' largest virtual land owner in the industry.
vEmpire DDAO,Onchain,Exchange Inflow/Outflow,vEmpire DDAO is a decentralized metaverse investment org. offering double yield interest ' largest virtual land owner in the industry.
vEmpire DDAO,Offchain,Token Burn,vEmpire DDAO is a decentralized metaverse investment org. offering double yield interest ' largest virtual land owner in the industry.
SingularityDAO,Onchain,Trading volume,"SingularityDAO is a decentralized token governing AI-managed funds, powered by SingularityNET's AI technology. "
SingularityDAO,Offchain,Market sentiment,"SingularityDAO is a decentralized token governing AI-managed funds, powered by SingularityNET's AI technology. "
SingularityDAO,Onchain,Token velocity,"SingularityDAO is a decentralized token governing AI-managed funds, powered by SingularityNET's AI technology. "
SingularityDAO,Offchain,Partnership announcements,"SingularityDAO is a decentralized token governing AI-managed funds, powered by SingularityNET's AI technology. "
SingularityDAO,Onchain,Network growth,"SingularityDAO is a decentralized token governing AI-managed funds, powered by SingularityNET's AI technology. "
SingularityDAO,Offchain,Regulatory developments,"SingularityDAO is a decentralized token governing AI-managed funds, powered by SingularityNET's AI technology. "
SingularityDAO,Onchain,Whale transactions,"SingularityDAO is a decentralized token governing AI-managed funds, powered by SingularityNET's AI technology. "
SingularityDAO,Offchain,Technology updates,"SingularityDAO is a decentralized token governing AI-managed funds, powered by SingularityNET's AI technology. "
SingularityDAO,Onchain,Token distribution,"SingularityDAO is a decentralized token governing AI-managed funds, powered by SingularityNET's AI technology. "
SingularityDAO,Offchain,Market trends,"SingularityDAO is a decentralized token governing AI-managed funds, powered by SingularityNET's AI technology. "
Creditcoin,Onchain,Transaction volume,Creditcoin aims to create a trustable credit framework for the unbanked in developing markets using public blockchain.
Creditcoin,Offchain,Market sentiment,Creditcoin aims to create a trustable credit framework for the unbanked in developing markets using public blockchain.
Creditcoin,Onchain,Wallet growth,Creditcoin aims to create a trustable credit framework for the unbanked in developing markets using public blockchain.
Creditcoin,Offchain,Regulatory developments,Creditcoin aims to create a trustable credit framework for the unbanked in developing markets using public blockchain.
Creditcoin,Onchain,Token circulation,Creditcoin aims to create a trustable credit framework for the unbanked in developing markets using public blockchain.
Creditcoin,Offchain,Partnerships and collaborations,Creditcoin aims to create a trustable credit framework for the unbanked in developing markets using public blockchain.
Creditcoin,Onchain,Network hash rate,Creditcoin aims to create a trustable credit framework for the unbanked in developing markets using public blockchain.
Creditcoin,Offchain,Market liquidity,Creditcoin aims to create a trustable credit framework for the unbanked in developing markets using public blockchain.
Creditcoin,Onchain,Token distribution,Creditcoin aims to create a trustable credit framework for the unbanked in developing markets using public blockchain.
Creditcoin,Offchain,Market trends,Creditcoin aims to create a trustable credit framework for the unbanked in developing markets using public blockchain.
BakeryToken,Onchain,Trading volume,"BakerySwap offers faster, cheaper, and tastier trading with BAKE rewards and governance voting for liquidity providers. "
BakeryToken,Offchain,Market sentiment,"BakerySwap offers faster, cheaper, and tastier trading with BAKE rewards and governance voting for liquidity providers. "
BakeryToken,Onchain,Token velocity,"BakerySwap offers faster, cheaper, and tastier trading with BAKE rewards and governance voting for liquidity providers. "
BakeryToken,Offchain,Exchange order book,"BakerySwap offers faster, cheaper, and tastier trading with BAKE rewards and governance voting for liquidity providers. "
BakeryToken,Onchain,Whale transactions,"BakerySwap offers faster, cheaper, and tastier trading with BAKE rewards and governance voting for liquidity providers. "
BakeryToken,Offchain,Trading volume across exchanges,"BakerySwap offers faster, cheaper, and tastier trading with BAKE rewards and governance voting for liquidity providers. "
BakeryToken,Onchain,Token distribution,"BakerySwap offers faster, cheaper, and tastier trading with BAKE rewards and governance voting for liquidity providers. "
BakeryToken,Offchain,Regulatory developments,"BakerySwap offers faster, cheaper, and tastier trading with BAKE rewards and governance voting for liquidity providers. "
BakeryToken,Onchain,Network activity,"BakerySwap offers faster, cheaper, and tastier trading with BAKE rewards and governance voting for liquidity providers. "
BakeryToken,Offchain,Market trends and correlations,"BakerySwap offers faster, cheaper, and tastier trading with BAKE rewards and governance voting for liquidity providers. "
LBR,Onchain,Trading volume,LBR is Lybra Protocol's main token; stLBR holders receive protocol revenue and LBR tokens can be acquired through various means. 
LBR,Offchain,Market sentiment,LBR is Lybra Protocol's main token; stLBR holders receive protocol revenue and LBR tokens can be acquired through various means. 
